FirstName,LastName,BarName,
Paxton,Rich,Proof,
Emery,Powell,No Vacancy at the Juniper Hotel,
Malakai,Holmes,Sassafras Saloon,
Delaney,Reilly,Polite Provisions,
Dawson,Castro,Multnomah Whiskey Library,
Jordan,Mccarty,The Capital Bar & Grill,
Arthur,Hendricks,Goodnight Gracie Jazz & Martini Bar,
Annabelle,Spence,Bar Goto,
Bryce,Lewis,Million Dollar Cowboy Bar,
Bruce,Taylor,Cannon,
Lola,Leon,Diamond Reef,
Emilia,Chaney,Dante,
Brooklyn,Sanders,Distil,
Frances,Avery,The Silver Dollar,
Briana,Mann,Range,
Heaven,Green,Dutch Kills,
Israel,Franco,The Kill Devil Club,
Heaven,Green,Dutch Kills,
Khloe,Stephens,Britannia Arms,
Rocco,Bender,Raven & Rose,
Orion,Tran,PX,
Miracle,Murray,Club 175,
Jimena,Cole,Tiki-Ti ,
Evie,Lester,The Capital Bar & Grill,
Thiago,Ryan,Altitude Sky Lounge,
Melany,Bell,A.P. Stump's,
Conor,Ochoa,Half Step,
Zachariah,Burgess,Taste by Niche,
Theo,Sullivan,Clyde Common,
Claire,Allison,Giza Hookah Lounge,
Barrett,Collier,Broken Shaker,
Kai,Bautista,Seven Bamboo,
Kyla,Medina,Employees Only,
Rosalie,Hancock,Spirit,
Jimena,Riddle,The Hawthorne,
Ellis,Stout,Bar Crudo ,
Abigail,Gordon,Eulipia,
Amiyah,Chapman,Coconut Willie's Cocktail Lounge,
Annie,Evans,Kask,
Eduardo,Chase,Million Dollar Cowboy Bar,
Jayleen,Curtis,Prairie School,
Charlie,Haney,Bar Goto,
Diana,Marsh,The Wayland,
Claire,Patel,The Wayland,
Hudson,Little,The Old Seelbach Bar,
Romeo,Mora,The Griswold Inn Tap Room,
Rory,Wilson,Dutch Kills,
Ember,Kaufman,Multnomah Whiskey Library,
Lilah,Rivers,Dram & Grain,
Brooke,Thompson,No Vacancy at the Juniper Hotel,
Phoenix,Olsen,Cabana,
Kaylee,Rubio,BlackTail,
Dean,Weber,The Kill Devil Club,
Davis,Parrish,The Office,
Kyrie,Daniel,ROKC,
Lia,Hood,Charlie Was A Sinner,
Skylar,Rodgers,B.D. Riley's,
Cayden,Walls,Distil,
Lane,Santos,The Hawthorne,
Lyric,Boyle,The Carousel Bar & Lounge,
Jamison,Rubio,Billy Sunday,
Chase,Mcpherson,BackBar,
Eva,Manning,Bit House Saloon,
Joaquin,Rhodes,Spirit,
Kiara,Warner,Multnomah Whiskey Library,
Josiah,Scott,Julep,
Luciana,Cantrell,Galaxie,
Rachel,Hall,Prairie School,
Christopher,Anthony,The Dead Rabbit,
Related Post,Mercado,The Bella Union,
Alayna,Church,Spirit,
Scarlett,Armstrong,Death + Company,
Aylin,Hayes,McMahon's Public House,
Clara,Yates,Slowly Shirley,
Lennon,Glass,Diamond Reef,
Olivia,Taylor,Prizefighter,
Adeline,Patterson,Galaxie,
Theo,Sullivan,Billy Sunday,
Jasmine,Mcguire,Leyenda,
Aria,Larson,The Capital Bar & Grill,
Vera,Cole,No Vacancy at the Juniper Hotel,
Bianca,Sosa,Slowly Shirley,
Melanie,Dalton,Dutch Kills,
Ismael,Meyers,Beach Tree Bar,
Nolan,Sloan,Britannia Arms,
Melody,Contreras,Proof,
Emilia,Chaney,Proof,
Alijah,Mccall,The Blank Club,
Lilliana,Arnold,33 Taps,
Anastasia,Johnston,The Wayland,
Raegan,Kaiser,Daquiri Time Out,
Elaina,Gonzalez,Bar Agricole,
Reese,Padilla,Prizefighter,
Fatima,Herman,Range,
Rachel,Cole,Everson Royce Bar,
Brooke,Thompson,The Dead Rabbit,
Faith,Hunt,Seamstress,
Easton,Bell,Half Step,
Iker,Durham,Gecko Grill,
Iker,Ferguson,Julep,
Tatum,Boyd,Giza Hookah Lounge,
Rocco,Bender,Raven & Rose,
Juliet,Edwards,Seamstress,
Josiah,Scott,Dutch Kills,
Antonio,Herring,Million Dollar Cowboy Bar,
Jeremy,Mosley,Club 175,
Harrison,Ali,Clover Club,
Atlas,Shelton,Bit House Saloon,
Catherine,Moon,Gecko Grill,
Joshua,Clarke,Blackberry Farm,
Danielle,Pittman,Barnacle Bar,
Bruce,Krause,Million Dollar Cowboy Bar,
Vanessa,Bonilla,Broken Shaker,
Stephanie,Clayton,The Dead Rabbit,
