BillID,FirstName,LastName,Total,
NVATJH-17E1AE64577C7E05,Evie,Mckay,398.39,
CNM-FA590E29E41C5D25,Daniella,Gomez,649.48,
SB-40A5E3D13F7BA99B,Winter,Trujillo,216.3,
R&R-0B98DE1E4B90D27C,Dalton,Shannon,534.45,
C-3741B3AAA555407B,Annie,Hobbs,240.58,
C-90C64A625AB38161,Lana,Garcia,323.98,
CC-55399A15F0C9FC96,Josue,Moreno,287.01,
C1-541B1BF65A4AE55F,Ibrahim,Holden,167.64,
BA-E7F47138B3040BDD,Brynlee,Mejia,152.09,
3T-E000FDAEF9209CC7,Damon,Mills,220.74,
S-03AB74D464329183,Shane,Preston,155.96,
B-EE2D116F80840F3B,Grant,Black,134.35,
TWP-586E888E31914CF3,Kelsey,Wilkerson,395.01,
CWCL-D5067C5FD73A1AFE,Allyson,Powell,287.02,
RKT-B267D6A31BECAF8C,Cadence,Reeves,349.98,
3T-5062196A66659E8C,Adrian,Osborne,343.46,
TO-F2DD91799C5A819F,Related Post,Houston,220.49,
M-991C7D100FD0EF69,Eloise,Beard,406.79,
C-A2F508320A5A3F9D,Corbin,Gross,185.63,
TDR-DD76619C87A3B23D,Landon,Gross,307.76,
D&G-D12F224A01CF156C,Reed,Chang,53.38,
HC-EE6978601EA61BC5,Malia,Robbins,527.63,
SS-36920014FBF4DC9A,Eduardo,Dawson,184.45,
G&D-00865BA40166F8D6,Zane,Robbins,380.92,
K-9D3E4759E4AE8CF3,Princeton,Stout,261.9,
O-DF8054EA8C15322A,Ashley,Guerra,374.34,
IF-6D6D420B68CA4FE9,Charlie,Holmes,68.35,
B-C359B0CC72C55911,Samantha,Kidd,140.96,
R1-019F56442CB3D8D0,Daniel,Adelman,416.99,
TMR-57CD3008F85A3FE6,Makenna,Avila,363.0,
TD-AF4D14E255F19A63,Martin,Butler,44.4,
P-FC35AE96D39154E6,Mckinley,Rangel,280.19,
D+C-DA10DF18DD2B4056,King,Shea,167.95,
BF-94782C8DCB10594B,Angela,Bryan,437.65,
HS-5523AF236DE83FEA,Genevieve,Andrews,241.11,
IF-54B2E4CD3BF3B47C,Delilah,Gardner,167.7,
BB-2017E4CE3E99A81A,Braylen,Sloan,111.28,
AB&R-5A71530C118A26E8,Kaydence,Patrick,153.0,
BF-FB67E74D28809168,Zuri,Cooley,258.85,
D+C-79843C9020819C6E,Theodore,Archer,224.03,
B-4D9427381489A9E0,Preston,Bruce,198.54,
TBN-77DAEB6022FCA29E,Ashley,Guerra,324.9,
A-4B57D171B36F8A4E,Jazlyn,Hicks,248.66,
SB-DD8EC2983C1D5D4D,Sofia,Harrington,473.05,
TPL-943869A12735E305,Dante,Farrell,288.58,
S-DA45359CCF52280B,Bella,Burns,190.78,
BA-A8A970B0555398EC,Daniella,Lang,404.1,
BR-7EE1F4B353B42C2A,Kason,Cardenas,135.0,
BB-A516A959A6B527FE,Wyatt,Blair,440.4,
L-F8C2E5C1FD310DFE,Jeffrey,Fritz,139.14,
AS-5E76F6FD388528F0,Makenna,Vaughan,44.05,
BG-2663B7B2538F93EC,Melissa,Burke,482.26,
D-0605CD39F1A03170,Vincent,Dalton,274.5,
D+C-42C60EAB5A6E5CD7,Theo,Weeks,348.24,
TBASTC-A2295FD6F363527E,Porter,Myers,124.76,
O-EEFF85BAB514451F,Avery,Tate,435.54,
SL-2E9A8973C642071D,Matthias,Mcdaniel,459.9,
ASL-E0D18ADBA7C8B368,Christina,Norris,203.95,
BG-9D7AD6660C5E3BB7,Tate,Decker,162.57,
S-F085A3A27EFFF0E3,Alejandro,Harris,297.0,
AB&R-913492FA1FB137E3,April,Dodson,318.75,
CWAS-5772980ABBE70E85,Jaxton,Anthony,175.75,
TCB&L-299590444409C8EC,Gracie,Gallegos,315.0,
CC-50FA4CE800A87D9E,Mira,Miranda,176.7,
BTB-A82B83318256A445,Skylar,Duran,343.16,
TD-4595A01E90ED34BE,Aubree,Salazar,409.14,
TVTR-465B53C706957F2B,Sydney,Ferrell,397.44,
C-42FF09AAADA092F0,Robert,Shannon,106.18,
LL-15235C3F7CFA8DEE,Arthur,Nelson,376.39,
C1-DDC69F4A0D81DDE6,Camden,Robinson,402.87,
WU-E3DE6D38BCABB912,Allyson,Hickman,384.0,
BT-C8F472AA53529A77,Madelynn,Best,474.9,
A-997DE608640B4816,Annabella,Mata,559.8,
IF-4B9FA43722A7F969,Margaret,Rangel,343.14,
TA-CDA085C057E472FA,Bryson,Glenn,108.6,
TBC-FD4FD36741D26357,Hazel,Anthony,54.6,
